Date,Mkt-RF,SMB,HML,RF
2011-01-04,-0.0026,-0.0132,-0.0002,0.0
2011-01-05,0.006,0.0060999999999999995,0.0012,0.0
2011-01-06,-0.0015,-0.0007000000000000001,-0.0033,0.0
2011-01-07,-0.0021,-0.0029,-0.0021,0.0
2011-01-10,-0.0002,0.0051,-0.0014000000000000002,0.0
2011-01-11,0.0039000000000000003,0.0012,0.0019,0.0
2011-01-12,0.0087,-0.0002,0.0021,0.0
2011-01-13,-0.0018,0.0014000000000000002,-0.0033,0.0
2011-01-14,0.0069,0.0002,0.006,0.0
2011-01-18,0.0018,0.0009,-0.0053,0.0
2011-01-19,-0.0124,-0.0138,-0.0049,0.0
2011-01-20,-0.0029,-0.0097,0.0058,0.0
2011-01-21,0.0011,-0.0088,0.005600000000000001,0.0
2011-01-24,0.0066,0.0027,-0.0023,0.0
2011-01-25,0.0002,0.0,0.0013,0.0
2011-01-26,0.006,0.0139,-0.0022,0.0
2011-01-27,0.0027,-0.0011,0.0036,0.0
2011-01-28,-0.018799999999999997,-0.0085,-0.0007000000000000001,0.0
2011-01-31,0.0072,0.0002,-0.0029,0.0
2011-02-01,0.0175,0.0048,0.005,0.0
2011-02-02,-0.0026,-0.0004,-0.0037,0.0
2011-02-03,0.0026,-0.0005,-0.0003,0.0
2011-02-04,0.0029,0.0,-0.0043,0.0
2011-02-07,0.006999999999999999,0.0028000000000000004,0.005600000000000001,0.0
2011-02-08,0.0048,0.0023,-0.0002,0.0
2011-02-09,-0.0031,-0.0022,-0.0004,0.0
2011-02-10,0.0012,0.0036,-0.0034999999999999996,0.0
2011-02-11,0.0067,0.0042,0.0045000000000000005,0.0
2011-02-14,0.003,0.0021,-0.0014000000000000002,0.0
2011-02-15,-0.0038,-0.0034000000000000002,0.0025,0.0
2011-02-16,0.0068000000000000005,0.0039000000000000003,0.0018,0.0
2011-02-17,0.0037,0.0034000000000000002,0.0022,0.0
2011-02-18,0.0012,-0.001,0.0005,0.0
2011-02-22,-0.0219,-0.005699999999999999,-0.0022,0.0
2011-02-23,-0.0078000000000000005,-0.011399999999999999,0.0039000000000000003,0.0
2011-02-24,0.0004,0.0073,-0.0036,0.0
2011-02-25,0.012199999999999999,0.01,0.0024,0.0
2011-02-28,0.0042,-0.0046,0.0028000000000000004,0.0
2011-03-01,-0.0158,-0.0033,-0.0005,0.0
2011-03-02,0.0028000000000000004,0.003,-0.0025,0.0
2011-03-03,0.0176,0.0043,-0.0005,0.0
2011-03-04,-0.0067,0.0027,-0.0053,0.0
2011-03-07,-0.0096,-0.0074,0.0009,0.0
2011-03-08,0.0097,0.0048,0.0063,0.0
2011-03-09,-0.0018,-0.0026,0.0032,0.0
2011-03-10,-0.019299999999999998,-0.0075,-0.003,0.0
2011-03-11,0.0069,-0.0032,0.0013,0.0
2011-03-14,-0.0059,0.0011,-0.0039000000000000003,0.0
2011-03-15,-0.0105,0.0028000000000000004,-0.0014000000000000002,0.0
2011-03-16,-0.0177,0.0063,-0.0011,0.0
2011-03-17,0.011200000000000002,-0.008100000000000001,0.005699999999999999,0.0
2011-03-18,0.0049,0.0062,0.0009,0.0
2011-03-21,0.0158,0.009300000000000001,-0.0017000000000000001,0.0
2011-03-22,-0.0034000000000000002,-0.0008,-0.0005,0.0
2011-03-23,0.0031,0.0016,-0.004699999999999999,0.0
2011-03-24,0.0096,-0.001,-0.004,0.0
2011-03-25,0.0040999999999999995,0.0040999999999999995,-0.0002,0.0
2011-03-28,-0.0034999999999999996,0.0004,-0.0026,0.0
2011-03-29,0.0073,0.0025,-0.0023,0.0
2011-03-30,0.0079,0.0043,0.0007000000000000001,0.0
2011-03-31,-0.0011,0.0059,-0.0028000000000000004,0.0
2011-04-01,0.0052,-0.0012,0.0021,0.0
2011-04-04,0.0009,0.0027,-0.0015,0.0
2011-04-05,0.0008,0.005,-0.0026,0.0
2011-04-06,0.002,-0.0015,0.005699999999999999,0.0
2011-04-07,-0.002,-0.0021,-0.002,0.0
2011-04-08,-0.004699999999999999,-0.005699999999999999,-0.0025,0.0
2011-04-11,-0.0039000000000000003,-0.0062,-0.0008,0.0
2011-04-12,-0.0084,-0.0067,0.0006,0.0
2011-04-13,0.0011,0.0013,-0.0069,0.0
2011-04-14,0.0,0.003,-0.0023,0.0
2011-04-15,0.0044,0.005600000000000001,-0.0008,0.0
2011-04-18,-0.0115,-0.0039000000000000003,-0.0028000000000000004,0.0
2011-04-19,0.0051,-0.0033,-0.0025,0.0
2011-04-20,0.0146,0.005699999999999999,-0.0051,0.0
2011-04-21,0.005600000000000001,0.003,-0.0006,0.0
2011-04-25,-0.0015,-0.0004,-0.0004,0.0
2011-04-26,0.0089,0.0014000000000000002,-0.0003,0.0
2011-04-27,0.0066,-0.0009,-0.0025,0.0
2011-04-28,0.0032,-0.0012,0.0016,0.0
2011-04-29,0.0029,0.0019,-0.0003,0.0
2011-05-02,-0.0028000000000000004,-0.0092,-0.0016,0.0
2011-05-03,-0.005,-0.0097,0.0033,0.0
2011-05-04,-0.0074,-0.005600000000000001,-0.0007000000000000001,0.0
2011-05-05,-0.008199999999999999,0.0051,-0.0034000000000000002,0.0
2011-05-06,0.0045000000000000005,0.0001,-0.0013,0.0
2011-05-09,0.0055000000000000005,0.0066,-0.0048,0.0
2011-05-10,0.0086,0.006500000000000001,0.0028000000000000004,0.0
2011-05-11,-0.0109,-0.0063,-0.0038,0.0
2011-05-12,0.0052,0.0034999999999999996,-0.004,0.0
2011-05-13,-0.0088,-0.004699999999999999,-0.0027,0.0
2011-05-16,-0.0077,-0.0102,0.0043,0.0
2011-05-17,-0.0011,-0.0040999999999999995,0.0007000000000000001,0.0
2011-05-18,0.0102,0.0064,-0.0029,0.0
2011-05-19,0.0022,-0.0006,-0.0007000000000000001,0.0
2011-05-20,-0.0073,0.0007000000000000001,-0.0015,0.0
2011-05-23,-0.0129,-0.0051,0.0002,0.0
2011-05-24,-0.0015,-0.0028000000000000004,-0.0003,0.0
2011-05-25,0.0045000000000000005,0.0102,-0.0034000000000000002,0.0
2011-05-26,0.0052,0.0067,-0.0012,0.0
2011-05-27,0.0049,0.0018,0.0023,0.0
2011-05-31,0.0104,0.0044,-0.0004,0.0
2011-06-01,-0.0233,-0.0076,-0.0025,0.0
2011-06-02,-0.001,-0.0006,0.0014000000000000002,0.0
2011-06-03,-0.011000000000000001,-0.0053,0.0012,0.0
2011-06-06,-0.0118,-0.0026,-0.0026,0.0
2011-06-07,-0.0005,0.0034000000000000002,-0.0014000000000000002,0.0
2011-06-08,-0.0054,-0.0072,0.0007000000000000001,0.0
2011-06-09,0.0075,-0.0008,-0.0003,0.0
2011-06-10,-0.0137,-0.0022,0.0038,0.0
2011-06-13,0.0001,-0.0053,0.0034999999999999996,0.0
2011-06-14,0.013600000000000001,0.0101,-0.0036,0.0
2011-06-15,-0.0171,-0.0002,-0.0013,0.0
2011-06-16,0.0013,-0.0012,0.0053,0.0
2011-06-17,0.0025,-0.0039000000000000003,0.0066,0.0
2011-06-20,0.0058,0.0034999999999999996,-0.0005,0.0
2011-06-21,0.0152,0.0095,-0.004,0.0
2011-06-22,-0.0062,-0.0012,0.0002,0.0
2011-06-23,-0.0014000000000000002,0.0063,-0.0077,0.0
2011-06-24,-0.0111,0.0042,0.0011,0.0
2011-06-27,0.0089,0.0005,-0.0003,0.0
2011-06-28,0.013600000000000001,0.0037,-0.0046,0.0
2011-06-29,0.0077,-0.0068000000000000005,0.0063,0.0
2011-06-30,0.009899999999999999,0.0019,-0.0028000000000000004,0.0
2011-07-01,0.014499999999999999,-0.0004,0.0014000000000000002,0.0
2011-07-05,-0.0007000000000000001,0.0023,-0.0085,0.0
2011-07-06,0.0017000000000000001,0.0043,-0.0058,0.0
2011-07-07,0.011000000000000001,0.0046,0.0016,0.0
2011-07-08,-0.0067,0.0002,-0.0042,0.0
2011-07-11,-0.019,-0.0012,-0.0033,0.0
2011-07-12,-0.0045000000000000005,0.0004,0.0040999999999999995,0.0
2011-07-13,0.0045000000000000005,0.005699999999999999,-0.0014000000000000002,0.0
2011-07-14,-0.008100000000000001,-0.008100000000000001,0.0012,0.0
2011-07-15,0.005699999999999999,0.0012,-0.005,0.0
2011-07-18,-0.009399999999999999,-0.005600000000000001,-0.0042,0.0
2011-07-19,0.0171,0.0058,-0.006500000000000001,0.0
2011-07-20,-0.001,-0.0032,0.0079,0.0
2011-07-21,0.0129,-0.0036,0.011000000000000001,0.0
2011-07-22,0.001,-0.0009,-0.0069,0.0
2011-07-25,-0.0068000000000000005,-0.0059,0.0015,0.0
2011-07-26,-0.004699999999999999,-0.0034999999999999996,0.0032,0.0
2011-07-27,-0.0215,-0.0077,0.004,0.0
2011-07-28,-0.0031,0.0012,0.0001,0.0
2011-07-29,-0.005699999999999999,0.0027,0.0007000000000000001,0.0
2011-08-01,-0.004,-0.0015,0.0015,0.0
2011-08-02,-0.0268,-0.0043,0.0018,0.0
2011-08-03,0.0059,0.0023,-0.0037,0.0
2011-08-04,-0.050300000000000004,-0.0079,0.0037,0.0
2011-08-05,-0.0036,-0.011899999999999999,-0.0062,0.0
2011-08-08,-0.0696,-0.0137,-0.016200000000000003,0.0
2011-08-09,0.049699999999999994,0.0091,0.0073,0.0
2011-08-10,-0.043,-0.005,-0.0161,0.0
2011-08-11,0.0472,0.0024,0.008,0.0
2011-08-12,0.0054,-0.0023,-0.0151,0.0
2011-08-15,0.0225,0.0045000000000000005,0.0102,0.0
2011-08-16,-0.010700000000000001,-0.008,-0.0014000000000000002,0.0
2011-08-17,-0.0001,-0.0032,0.006500000000000001,0.0
2011-08-18,-0.0464,-0.0096,0.0054,0.0
2011-08-19,-0.0154,0.0014000000000000002,-0.0036,0.0
2011-08-22,-0.0003,0.0017000000000000001,-0.009000000000000001,0.0
2011-08-23,0.036000000000000004,0.0124,-0.0079,0.0
2011-08-24,0.013500000000000002,-0.0019,0.01,0.0
2011-08-25,-0.0167,-0.01,0.0049,0.0
2011-08-26,0.0174,0.0085,-0.01,0.0
2011-08-29,0.0311,0.0152,0.009300000000000001,0.0
2011-08-30,0.0032,0.0031,-0.0078000000000000005,0.0
2011-08-31,0.0042,-0.008100000000000001,0.0048,0.0
2011-09-01,-0.013300000000000001,-0.0106,-0.0078000000000000005,0.0
2011-09-02,-0.0264,-0.0075,-0.0075,0.0
2011-09-06,-0.0072,0.005,-0.0064,0.0
2011-09-07,0.030600000000000002,0.0088,0.0103,0.0
2011-09-08,-0.0118,-0.0073,-0.0060999999999999995,0.0
2011-09-09,-0.0265,-0.0017000000000000001,-0.0004,0.0
2011-09-12,0.0068000000000000005,0.0001,0.0037,0.0
2011-09-13,0.011200000000000002,0.0077,-0.0037,0.0
2011-09-14,0.014499999999999999,0.004,-0.0038,0.0
2011-09-15,0.016399999999999998,-0.005699999999999999,0.005699999999999999,0.0
2011-09-16,0.004699999999999999,-0.0034999999999999996,-0.0033,0.0
2011-09-19,-0.009899999999999999,-0.0049,-0.0125,0.0
2011-09-20,-0.0045000000000000005,-0.0146,0.002,0.0
2011-09-21,-0.0292,-0.0031,-0.0124,0.0
2011-09-22,-0.0329,0.0015,0.0045000000000000005,0.0
2011-09-23,0.0074,0.006500000000000001,-0.0002,0.0
2011-09-26,0.022799999999999997,-0.0066,0.0128,0.0
2011-09-27,0.012199999999999999,0.0106,-0.0063,0.0
2011-09-28,-0.0229,-0.0163,-0.0024,0.0
2011-09-29,0.0077,0.0055000000000000005,0.021099999999999997,0.0
2011-09-30,-0.025,-0.0007000000000000001,-0.0021,0.0
2011-10-03,-0.0318,-0.0191,-0.0058,0.0
2011-10-04,0.0268,0.035699999999999996,0.0044,0.0
2011-10-05,0.0192,-0.002,-0.0045000000000000005,0.0
2011-10-06,0.0194,0.0017000000000000001,0.006,0.0
2011-10-07,-0.0097,-0.0123,-0.0147,0.0
2011-10-10,0.0344,0.0044,0.0062,0.0
2011-10-11,0.0015,0.006500000000000001,-0.0012,0.0
2011-10-12,0.010700000000000001,0.0042,0.009399999999999999,0.0
2011-10-13,-0.0021,0.0029,-0.0126,0.0
2011-10-14,0.0172,0.0015,-0.0033,0.0
2011-10-17,-0.0206,-0.0124,-0.005,0.0
2011-10-18,0.021099999999999997,0.0058,0.0167,0.0
2011-10-19,-0.0138,-0.0076,0.0032,0.0
2011-10-20,0.0042,-0.0032,0.0075,0.0
2011-10-21,0.0192,0.0014000000000000002,0.0008,0.0
2011-10-24,0.0158,0.0172,-0.0034999999999999996,0.0
2011-10-25,-0.0213,-0.0087,-0.0032,0.0
2011-10-26,0.011200000000000002,0.0064,0.0076,0.0
2011-10-27,0.0354,0.0138,0.0091,0.0
2011-10-28,-0.0002,-0.0053,-0.0054,0.0
2011-10-31,-0.025,0.0007000000000000001,-0.0087,0.0
2011-11-01,-0.0286,-0.0048,-0.0113,0.0
2011-11-02,0.0173,0.0070999999999999995,0.009399999999999999,0.0
2011-11-03,0.0197,0.005699999999999999,-0.0014000000000000002,0.0
2011-11-04,-0.0053,0.0001,-0.0062,0.0
2011-11-07,0.0048,-0.0069,0.0039000000000000003,0.0
2011-11-08,0.012199999999999999,-0.0002,0.0051,0.0
2011-11-09,-0.0378,-0.0076,-0.0069,0.0
2011-11-10,0.0083,0.0004,0.0054,0.0
2011-11-11,0.019799999999999998,0.0046,-0.0018,0.0
2011-11-14,-0.0092,-0.0043,-0.0087,0.0
2011-11-15,0.005600000000000001,0.0088,-0.0025,0.0
2011-11-16,-0.016399999999999998,-0.0014000000000000002,-0.0016,0.0
2011-11-17,-0.0165,0.0023,0.0015,0.0
2011-11-18,-0.0008,0.0002,0.0089,0.0
2011-11-21,-0.018600000000000002,-0.0048,-0.0004,0.0
2011-11-22,-0.0042,-0.0028000000000000004,-0.0055000000000000005,0.0
2011-11-23,-0.0227,-0.0069,-0.0028000000000000004,0.0
2011-11-25,-0.0034000000000000002,-0.0102,0.005,0.0
2011-11-28,0.0311,0.0158,-0.0062,0.0
2011-11-29,0.0018,-0.005,0.0011,0.0
2011-11-30,0.0444,0.0106,0.0113,0.0
2011-12-01,-0.0022,-0.0049,-0.006500000000000001,0.0
2011-12-02,0.0005,0.0044,0.0063,0.0
2011-12-05,0.011000000000000001,0.0028000000000000004,0.0025,0.0
2011-12-06,0.0005,-0.0007000000000000001,0.0005,0.0
2011-12-07,0.0016,-0.0031,0.0075,0.0
2011-12-08,-0.0223,-0.0074,-0.0102,0.0
2011-12-09,0.0183,0.0131,0.0014000000000000002,0.0
2011-12-12,-0.0148,0.0007000000000000001,-0.0048,0.0
2011-12-13,-0.0105,-0.009899999999999999,0.0008,0.0
2011-12-14,-0.0121,-0.0028000000000000004,0.0091,0.0
2011-12-15,0.004,0.006500000000000001,0.0014000000000000002,0.0
2011-12-16,0.0046,0.0023,-0.0005,0.0
2011-12-19,-0.013000000000000001,-0.004,-0.0072,0.0
2011-12-20,0.031,0.0076,0.0034000000000000002,0.0
2011-12-21,0.002,-0.0001,0.0127,0.0
2011-12-22,0.0083,-0.0021,0.0063,0.0
2011-12-23,0.0084,-0.0060999999999999995,-0.0012,0.0
2011-12-27,0.0004,0.005,-0.0055000000000000005,0.0
2011-12-28,-0.0134,-0.006999999999999999,-0.0007000000000000001,0.0
2011-12-29,0.011000000000000001,0.0019,0.0029,0.0
2011-12-30,-0.0040999999999999995,-0.0006,-0.002,0.0
2012-01-03,0.015,-0.002,0.009000000000000001,0.0
2012-01-04,0.0,-0.006500000000000001,0.0001,0.0
2012-01-05,0.0039000000000000003,0.0018,0.0018,0.0
2012-01-06,-0.0019,0.0003,-0.003,0.0
2012-01-09,0.0028000000000000004,0.0024,-0.0007000000000000001,0.0
2012-01-10,0.0097,0.0036,0.0039000000000000003,0.0
2012-01-11,0.0013,0.0016,0.0031,0.0
2012-01-12,0.0031,0.0027,0.0003,0.0
2012-01-13,-0.0052,-0.0024,-0.0043,0.0
2012-01-17,0.0036,-0.0009,-0.0075,0.0
2012-01-18,0.0121,0.0055000000000000005,0.0019,0.0
2012-01-19,0.0051,-0.0013,-0.0022,0.0
2012-01-20,0.0003,0.0025,0.0064,0.0
2012-01-23,0.0002,-0.0029,0.0017000000000000001,0.0
2012-01-24,0.0,0.008100000000000001,-0.0031,0.0
2012-01-25,0.0091,0.0012,-0.0077,0.0
2012-01-26,-0.006,0.0023,-0.0045000000000000005,0.0
2012-01-27,0.0001,0.008,-0.0013,0.0
2012-01-30,-0.0031,-0.0044,-0.0029,0.0
2012-01-31,-0.0005,-0.0004,0.0003,0.0
2012-02-01,0.011000000000000001,0.010700000000000001,0.0036,0.0
2012-02-02,0.0017000000000000001,0.0039000000000000003,0.0003,0.0
2012-02-03,0.0158,0.005699999999999999,0.0038,0.0
2012-02-06,-0.0005,-0.0024,-0.0023,0.0
2012-02-07,0.0016,-0.0026,-0.0008,0.0
2012-02-08,0.0025,-0.0014000000000000002,0.0046,0.0
2012-02-09,0.0015,-0.0038,-0.0031,0.0
2012-02-10,-0.0075,-0.0060999999999999995,-0.0006,0.0
2012-02-13,0.0075,0.006,-0.0008,0.0
2012-02-14,-0.0009,-0.0038,-0.0034999999999999996,0.0
2012-02-15,-0.005,-0.0029,0.001,0.0
2012-02-16,0.0127,0.0068000000000000005,0.0034000000000000002,0.0
2012-02-17,0.0016,-0.0033,0.005,0.0
2012-02-21,-0.0005,-0.0066,0.0028000000000000004,0.0
2012-02-22,-0.0039000000000000003,-0.0036,-0.0063,0.0
2012-02-23,0.005600000000000001,0.009399999999999999,-0.0002,0.0
2012-02-24,0.0015,-0.0044,-0.0064,0.0
2012-02-27,0.0014000000000000002,-0.0023,0.0036,0.0
2012-02-28,0.0028000000000000004,-0.0060999999999999995,-0.0013,0.0
2012-02-29,-0.0055000000000000005,-0.0102,0.0015,0.0
2012-03-01,0.0064,-0.0023,0.0005,0.0
2012-03-02,-0.0046,-0.0124,-0.0006,0.0
2012-03-05,-0.004,0.0046,0.0029,0.0
2012-03-06,-0.016200000000000003,-0.003,-0.0034999999999999996,0.0
2012-03-07,0.008,0.003,0.0029,0.0
2012-03-08,0.010700000000000001,0.0034000000000000002,-0.0024,0.0
2012-03-09,0.0049,0.009000000000000001,0.0018,0.0
2012-03-12,-0.0007000000000000001,-0.002,-0.0004,0.0
2012-03-13,0.018600000000000002,0.0007000000000000001,0.0096,0.0
2012-03-14,-0.0023,-0.0063,-0.0019,0.0
2012-03-15,0.0067,0.0026,0.0052,0.0
2012-03-16,0.0006,-0.0028000000000000004,0.0039000000000000003,0.0
2012-03-19,0.0040999999999999995,0.0052,-0.0004,0.0
2012-03-20,-0.0039000000000000003,-0.0064,0.003,0.0
2012-03-21,-0.001,0.003,-0.0040999999999999995,0.0
2012-03-22,-0.0074,-0.0012,-0.0046,0.0
2012-03-23,0.0039000000000000003,0.005600000000000001,0.0037,0.0
2012-03-26,0.014499999999999999,0.004699999999999999,-0.0022,0.0
2012-03-27,-0.003,-0.0034000000000000002,-0.0033,0.0
2012-03-28,-0.0052,-0.0003,0.0049,0.0
2012-03-29,-0.0017000000000000001,-0.0001,-0.0026,0.0
2012-03-30,0.0028000000000000004,-0.0069,-0.0004,0.0
2012-04-02,0.0078000000000000005,0.0036,0.0006,0.0
2012-04-03,-0.0034000000000000002,-0.0028000000000000004,-0.0028000000000000004,0.0
2012-04-04,-0.0111,-0.005600000000000001,-0.0004,0.0
2012-04-05,-0.0003,-0.0009,-0.0042,0.0
2012-04-09,-0.0121,-0.0045000000000000005,-0.0009,0.0
2012-04-10,-0.018500000000000003,-0.004,0.0008,0.0
2012-04-11,0.0085,0.0075,0.0028000000000000004,0.0
2012-04-12,0.0143,0.0004,0.003,0.0
2012-04-13,-0.0125,-0.0014000000000000002,-0.0075,0.0
2012-04-16,-0.0009,0.0016,0.008,0.0
2012-04-17,0.0155,0.0006,-0.0022,0.0
2012-04-18,-0.0042,-0.005,-0.0045000000000000005,0.0
2012-04-19,-0.005699999999999999,-0.0001,0.0024,0.0
2012-04-20,0.0011,0.0053,-0.0009,0.0
2012-04-23,-0.0095,-0.0055000000000000005,0.0015,0.0
2012-04-24,0.0029,0.0027,0.0091,0.0
2012-04-25,0.0144,0.004,-0.0098,0.0
2012-04-26,0.0075,-0.0002,-0.0003,0.0
2012-04-27,0.0034999999999999996,0.0070999999999999995,-0.0027,0.0
2012-04-30,-0.0048,-0.005699999999999999,0.0,0.0
2012-05-01,0.0048,-0.0084,0.0039000000000000003,0.0
2012-05-02,-0.0015,0.0074,-0.0066,0.0
2012-05-03,-0.0092,-0.0062,0.0,0.0
2012-05-04,-0.016200000000000003,-0.0025,0.0018,0.0
2012-05-07,0.0005,0.0015,0.0044,0.0
2012-05-08,-0.0040999999999999995,0.0033,0.0032,0.0
2012-05-09,-0.0063,0.0015,-0.0022,0.0
2012-05-10,0.003,0.0006,0.005600000000000001,0.0
2012-05-11,-0.0029,0.0026,-0.0105,0.0
2012-05-14,-0.011399999999999999,-0.0008,-0.0017000000000000001,0.0
2012-05-15,-0.0052,0.005,-0.0018,0.0
2012-05-16,-0.0045000000000000005,-0.0016,-0.0045000000000000005,0.0
2012-05-17,-0.016399999999999998,-0.0048,0.0039000000000000003,0.0
2012-05-18,-0.008,-0.0013,0.0007000000000000001,0.0
2012-05-21,0.0171,0.0064,-0.011000000000000001,0.0
2012-05-22,0.0001,-0.0091,0.0038,0.0
2012-05-23,0.0026,0.0049,-0.0024,0.0
2012-05-24,0.0016,-0.0002,0.002,0.0
2012-05-25,-0.0015,0.0023,-0.0013,0.0
2012-05-29,0.0116,0.0016,0.0,0.0
2012-05-30,-0.0146,-0.0026,-0.0032,0.0
2012-05-31,-0.0023,0.0015,0.0054,0.0
2012-06-01,-0.026000000000000002,-0.0052,0.0005,0.0
2012-06-04,-0.0005,0.0014000000000000002,-0.0059,0.0
2012-06-05,0.0068000000000000005,0.0024,0.0019,0.0
2012-06-06,0.0232,0.0004,0.0027,0.0
2012-06-07,-0.0009,-0.004699999999999999,0.0021,0.0
2012-06-08,0.0085,0.0021,0.0005,0.0
2012-06-11,-0.0141,-0.0085,-0.001,0.0
2012-06-12,0.0116,0.0011,0.001,0.0
2012-06-13,-0.0077,-0.0049,0.0026,0.0
2012-06-14,0.0104,0.0019,0.0033,0.0
2012-06-15,0.0106,0.0009,-0.0003,0.0
2012-06-18,0.0021,0.0014000000000000002,-0.0087,0.0
2012-06-19,0.0109,0.0068000000000000005,0.0028000000000000004,0.0
2012-06-20,-0.0014000000000000002,-0.0011,0.0016,0.0
2012-06-21,-0.0226,-0.0019,0.0017000000000000001,0.0
2012-06-22,0.0079,0.0064,0.0017000000000000001,0.0
2012-06-25,-0.0163,0.001,-0.0027,0.0
2012-06-26,0.0052,-0.0011,0.0002,0.0
2012-06-27,0.009300000000000001,0.004,0.0043,0.0
2012-06-28,-0.0024,0.0019,0.0033,0.0
2012-06-29,0.0255,0.0034999999999999996,-0.0062,0.0
2012-07-02,0.0033,0.0073,-0.0006,0.0
2012-07-03,0.0076,0.0064,0.0008,0.0
2012-07-05,-0.0036,0.005699999999999999,-0.0083,0.0
2012-07-06,-0.009899999999999999,-0.0038,0.0038,0.0
2012-07-09,-0.0023,-0.0023,-0.0023,0.0
2012-07-10,-0.0084,-0.0036,0.0032,0.0
2012-07-11,-0.0009,-0.0040999999999999995,0.0077,0.0
2012-07-12,-0.005,0.0024,-0.0068000000000000005,0.0
2012-07-13,0.016200000000000003,-0.004,0.005699999999999999,0.0
2012-07-16,-0.0031,-0.0036,-0.0022,0.0
2012-07-17,0.0067,-0.005699999999999999,0.0027,0.0
2012-07-18,0.0070999999999999995,0.0025,-0.008199999999999999,0.0
2012-07-19,0.0027,-0.0037,-0.009300000000000001,0.0
2012-07-20,-0.0106,-0.0034000000000000002,0.0007000000000000001,0.0
2012-07-23,-0.0101,-0.0068000000000000005,0.0019,0.0
2012-07-24,-0.009899999999999999,-0.005699999999999999,0.0028000000000000004,0.0
2012-07-25,-0.0001,0.0027,-0.0001,0.0
2012-07-26,0.0154,-0.009000000000000001,0.0034000000000000002,0.0
2012-07-27,0.0196,0.005600000000000001,0.0007000000000000001,0.0
2012-07-30,-0.0012,-0.0040999999999999995,0.0023,0.0
2012-07-31,-0.004699999999999999,-0.0005,0.0018,0.0
2012-08-01,-0.0051,-0.0158,0.0036,0.0
2012-08-02,-0.0069,0.003,-0.0034999999999999996,0.0
2012-08-03,0.0199,0.0052,0.0049,0.0
2012-08-06,0.0034000000000000002,0.006,0.0001,0.0
2012-08-07,0.0064,0.0032,0.0008,0.0
2012-08-08,0.0009,-0.0024,0.0063,0.0
2012-08-09,0.0012,0.0034999999999999996,0.0005,0.0
2012-08-10,0.0017000000000000001,-0.0034999999999999996,-0.0005,0.0
2012-08-13,-0.0014000000000000002,-0.0014000000000000002,0.0001,0.0
2012-08-14,-0.0003,-0.0043,-0.0004,0.0
2012-08-15,0.0027,0.0073,-0.0006,0.0
2012-08-16,0.0074,0.0045000000000000005,-0.0014000000000000002,0.0
2012-08-17,0.0027,0.0062,0.0011,0.0
2012-08-20,-0.0006,-0.004699999999999999,0.005600000000000001,0.0
2012-08-21,-0.0031,0.001,0.0043,0.0
2012-08-22,0.0,-0.0043,-0.0034000000000000002,0.0
2012-08-23,-0.0078000000000000005,0.0,-0.0036,0.0
2012-08-24,0.0060999999999999995,-0.0026,-0.0001,0.0
2012-08-27,-0.0006,0.0013,-0.0011,0.0
2012-08-28,0.0001,0.006,-0.0012,0.0
2012-08-29,0.0015,0.0026,0.0008,0.0
2012-08-30,-0.008,-0.0044,-0.0003,0.0
2012-08-31,0.0052,-0.001,-0.0002,0.0
2012-09-04,0.0008,0.01,-0.002,0.0
2012-09-05,-0.0005,-0.001,0.0037,0.0
2012-09-06,0.0207,-0.0013,0.0033,0.0
2012-09-07,0.0045000000000000005,-0.0004,0.0074,0.0
2012-09-10,-0.005699999999999999,0.0032,-0.0007000000000000001,0.0
2012-09-11,0.0028000000000000004,0.0,0.0052,0.0
2012-09-12,0.0027,0.0015,0.0028000000000000004,0.0
2012-09-13,0.015600000000000001,-0.0040999999999999995,0.0053,0.0
2012-09-14,0.0054,0.0051,0.0045000000000000005,0.0
2012-09-17,-0.0042,-0.0016,-0.0070999999999999995,0.0
2012-09-18,-0.0015,-0.0001,-0.0021,0.0
2012-09-19,0.0018,-0.0015,0.0003,0.0
2012-09-20,-0.0013,-0.0043,-0.0012,0.0
2012-09-21,0.0004,0.005,-0.0002,0.0
2012-09-24,-0.0026,-0.0019,0.0036,0.0
2012-09-25,-0.0111,-0.0031,-0.0034000000000000002,0.0
2012-09-26,-0.005699999999999999,-0.0003,0.0002,0.0
2012-09-27,0.009899999999999999,0.0023,-0.0014000000000000002,0.0
2012-09-28,-0.0046,-0.003,-0.0022,0.0
2012-10-01,0.0025,0.0007000000000000001,0.0022,0.0
2012-10-02,0.001,-0.0014000000000000002,0.0023,0.0
2012-10-03,0.0036,-0.0063,-0.0005,0.0
2012-10-04,0.0076,-0.002,0.0069,0.0
2012-10-05,-0.0003,-0.0016,0.0022,0.0
2012-10-08,-0.0036,-0.0024,0.002,0.0
2012-10-09,-0.0105,-0.0031,0.0033,0.0
2012-10-10,-0.0058,0.0042,0.0029,0.0
2012-10-11,0.0011,0.0024,0.0062,0.0
2012-10-12,-0.0034999999999999996,-0.0029,-0.0088,0.0
2012-10-15,0.0079,-0.0016,0.0013,0.0
2012-10-16,0.01,-0.0023,-0.0021,0.0
2012-10-17,0.0049,0.0014000000000000002,0.0105,0.0
2012-10-18,-0.0031,-0.006,0.0026,0.0
2012-10-19,-0.0168,-0.0040999999999999995,0.0046,0.0
2012-10-22,0.0,-0.0006,0.0018,0.0
2012-10-23,-0.0129,0.009899999999999999,-0.005,0.0
